date,week,month,season,holiday_flag,promotion_events
2025-03-15,11,3,Spring,0,
2025-03-16,11,3,Spring,0,
2025-03-17,12,3,Spring,0,
2025-03-18,12,3,Spring,0,
2025-03-19,12,3,Spring,0,
2025-03-20,12,3,Spring,0,
2025-03-21,12,3,Spring,0,
2025-03-22,12,3,Spring,0,
2025-03-23,12,3,Spring,0,
2025-03-24,13,3,Spring,0,
2025-03-25,13,3,Spring,0,
2025-03-26,13,3,Spring,0,
2025-03-27,13,3,Spring,0,
2025-03-28,13,3,Spring,0,
2025-03-29,13,3,Spring,0,
2025-03-30,13,3,Spring,0,
2025-03-31,14,3,Spring,0,
2025-04-01,14,4,Spring,0,
2025-04-02,14,4,Spring,0,
2025-04-03,14,4,Spring,0,
2025-04-04,14,4,Spring,0,
2025-04-05,14,4,Spring,0,
2025-04-06,14,4,Spring,0,
2025-04-07,15,4,Spring,0,
2025-04-08,15,4,Spring,0,
2025-04-09,15,4,Spring,0,
2025-04-10,15,4,Spring,0,
2025-04-11,15,4,Spring,0,
2025-04-12,15,4,Spring,0,Easter Sale
2025-04-13,15,4,Spring,0,Easter Sale
2025-04-14,16,4,Spring,0,Easter Sale
2025-04-15,16,4,Spring,0,
2025-04-16,16,4,Spring,0,
2025-04-17,16,4,Spring,0,
2025-04-18,16,4,Spring,0,
2025-04-19,16,4,Spring,0,
2025-04-20,17,4,Spring,0,
2025-04-21,17,4,Spring,0,
2025-04-22,17,4,Spring,0,
2025-04-23,17,4,Spring,0,
2025-04-24,17,4,Spring,0,
2025-04-25,17,4,Spring,0,
2025-04-26,17,4,Spring,0,
2025-04-27,18,4,Spring,0,
2025-04-28,18,4,Spring,0,
2025-04-29,18,4,Spring,0,
2025-04-30,18,4,Spring,0,
2025-05-01,18,5,Spring,0,
2025-05-02,18,5,Spring,0,
2025-05-03,18,5,Spring,0,
2025-05-04,18,5,Spring,0,
2025-05-05,19,5,Spring,0,
2025-05-06,19,5,Spring,0,
2025-05-07,19,5,Spring,0,
2025-05-08,19,5,Spring,0,
2025-05-09,19,5,Spring,0,Mother's Day Sale
2025-05-10,19,5,Spring,0,Mother's Day Sale
2025-05-11,19,5,Spring,0,Mother's Day Sale
2025-05-12,20,5,Spring,0,
2025-05-13,20,5,Spring,0,
2025-05-14,20,5,Spring,0,
2025-05-15,20,5,Spring,0,
2025-05-16,20,5,Spring,0,
2025-05-17,20,5,Spring,0,
2025-05-18,21,5,Spring,0,
2025-05-19,21,5,Spring,0,
2025-05-20,21,5,Spring,0,
2025-05-21,21,5,Spring,0,
2025-05-22,21,5,Spring,0,
2025-05-23,21,5,Spring,0,
2025-05-24,21,5,Spring,0,
2025-05-25,22,5,Spring,0,
2025-05-26,22,5,Spring,0,
2025-05-27,22,5,Spring,0,
2025-05-28,22,5,Spring,0,
2025-05-29,22,5,Spring,0,
2025-05-30,22,5,Spring,0,
2025-05-31,22,5,Spring,0,
2025-06-01,22,6,Summer,0,Summer Kickoff
2025-06-02,22,6,Summer,0,Summer Kickoff
2025-06-03,23,6,Summer,0,
2025-06-04,23,6,Summer,0,
2025-06-05,23,6,Summer,0,
2025-06-06,23,6,Summer,0,
2025-06-07,23,6,Summer,0,
2025-06-08,23,6,Summer,0,
2025-06-09,23,6,Summer,0,
2025-06-10,24,6,Summer,0,
2025-06-11,24,6,Summer,0,
2025-06-12,24,6,Summer,0,
2025-06-13,24,6,Summer,0,
2025-06-14,24,6,Summer,0,Father's Day Sale
2025-06-15,24,6,Summer,0,Father's Day Sale
2025-06-16,24,6,Summer,0,Father's Day Sale
2025-06-17,25,6,Summer,0,
2025-06-18,25,6,Summer,0,
2025-06-19,25,6,Summer,0,
2025-06-20,25,6,Summer,0,
2025-06-21,25,6,Summer,0,
2025-06-22,25,6,Summer,0,
2025-06-23,25,6,Summer,0,
2025-06-24,26,6,Summer,0,
2025-06-25,26,6,Summer,0,
2025-06-26,26,6,Summer,0,
2025-06-27,26,6,Summer,0,
2025-06-28,26,6,Summer,0,
2025-06-29,26,6,Summer,0,
2025-06-30,26,6,Summer,0,
2025-07-01,27,7,Summer,0,July 4th Sale
2025-07-02,27,7,Summer,0,July 4th Sale
2025-07-03,27,7,Summer,0,July 4th Sale
2025-07-04,27,7,Summer,1,July 4th Sale
2025-07-05,27,7,Summer,0,July 4th Sale
2025-07-06,27,7,Summer,0,
2025-07-07,28,7,Summer,0,
2025-07-08,28,7,Summer,0,
2025-07-09,28,7,Summer,0,
2025-07-10,28,7,Summer,0,
2025-07-11,28,7,Summer,0,Prime Day
2025-07-12,28,7,Summer,0,Prime Day
2025-07-13,28,7,Summer,0,Prime Day
2025-07-14,29,7,Summer,0,
2025-07-15,29,7,Summer,0,
2025-07-16,29,7,Summer,0,
2025-07-17,29,7,Summer,0,
2025-07-18,29,7,Summer,0,
2025-07-19,29,7,Summer,0,
2025-07-20,29,7,Summer,0,
2025-07-21,30,7,Summer,0,
2025-07-22,30,7,Summer,0,
2025-07-23,30,7,Summer,0,
2025-07-24,30,7,Summer,0,
2025-07-25,30,7,Summer,0,
2025-07-26,30,7,Summer,0,
2025-07-27,30,7,Summer,0,
2025-07-28,31,7,Summer,0,
2025-07-29,31,7,Summer,0,
2025-07-30,31,7,Summer,0,
2025-07-31,31,7,Summer,0,
2025-08-01,31,8,Summer,0,Summer Clearance
2025-08-02,31,8,Summer,0,Summer Clearance
2025-08-03,31,8,Summer,0,Summer Clearance
2025-08-04,32,8,Summer,0,
2025-08-05,32,8,Summer,0,
2025-08-06,32,8,Summer,0,
2025-08-07,32,8,Summer,0,
2025-08-08,32,8,Summer,0,
2025-08-09,32,8,Summer,0,
2025-08-10,32,8,Summer,0,
2025-08-11,33,8,Summer,0,
2025-08-12,33,8,Summer,0,Back to School
2025-08-13,33,8,Summer,0,Back to School
2025-08-14,33,8,Summer,0,Back to School
2025-08-15,33,8,Summer,0,Back to School
2025-08-16,33,8,Summer,0,Back to School
2025-08-17,33,8,Summer,0,Back to School
2025-08-18,34,8,Summer,0,
2025-08-19,34,8,Summer,0,
2025-08-20,34,8,Summer,0,
2025-08-21,34,8,Summer,0,
2025-08-22,34,8,Summer,0,
2025-08-23,34,8,Summer,0,
2025-08-24,34,8,Summer,0,
2025-08-25,35,8,Summer,0,
2025-08-26,35,8,Summer,0,
2025-08-27,35,8,Summer,0,
2025-08-28,35,8,Summer,0,
2025-08-29,35,8,Summer,0,
2025-08-30,35,8,Summer,0,
2025-08-31,35,8,Summer,0,
2025-09-01,36,9,Fall,0,Labor Day Sale
2025-09-02,36,9,Fall,0,Labor Day Sale
2025-09-03,36,9,Fall,0,Labor Day Sale
2025-09-04,36,9,Fall,0,
2025-09-05,36,9,Fall,0,
2025-09-06,36,9,Fall,0,
2025-09-07,36,9,Fall,0,
2025-09-08,37,9,Fall,0,
2025-09-09,37,9,Fall,0,
2025-09-10,37,9,Fall,0,
2025-09-11,37,9,Fall,0,
2025-09-12,37,9,Fall,0,
2025-09-13,37,9,Fall,0,
2025-09-14,37,9,Fall,0,
2025-09-15,38,9,Fall,0,
2025-09-16,38,9,Fall,0,
2025-09-17,38,9,Fall,0,
2025-09-18,38,9,Fall,0,
2025-09-19,38,9,Fall,0,
2025-09-20,38,9,Fall,0,
2025-09-21,38,9,Fall,0,
2025-09-22,39,9,Fall,0,
2025-09-23,39,9,Fall,0,
2025-09-24,39,9,Fall,0,
2025-09-25,39,9,Fall,0,
2025-09-26,39,9,Fall,0,
2025-09-27,39,9,Fall,0,
2025-09-28,39,9,Fall,0,
2025-09-29,40,9,Fall,0,
2025-09-30,40,9,Fall,0,
2025-10-01,40,10,Fall,0,Fall Festival
2025-10-02,40,10,Fall,0,Fall Festival
2025-10-03,40,10,Fall,0,Fall Festival
2025-10-04,40,10,Fall,0,
2025-10-05,40,10,Fall,0,
2025-10-06,41,10,Fall,0,
2025-10-07,41,10,Fall,0,
2025-10-08,41,10,Fall,0,
2025-10-09,41,10,Fall,0,
2025-10-10,41,10,Fall,0,
2025-10-11,41,10,Fall,0,Columbus Day Sale
2025-10-12,41,10,Fall,0,Columbus Day Sale
2025-10-13,41,10,Fall,0,Columbus Day Sale
2025-10-14,42,10,Fall,0,
2025-10-15,42,10,Fall,0,
2025-10-16,42,10,Fall,0,
2025-10-17,42,10,Fall,0,
2025-10-18,42,10,Fall,0,
2025-10-19,42,10,Fall,0,
2025-10-20,42,10,Fall,0,
2025-10-21,43,10,Fall,0,Halloween Sale
2025-10-22,43,10,Fall,0,Halloween Sale
2025-10-23,43,10,Fall,0,Halloween Sale
2025-10-24,43,10,Fall,0,Halloween Sale
2025-10-25,43,10,Fall,0,Halloween Sale
2025-10-26,43,10,Fall,0,Halloween Sale
2025-10-27,43,10,Fall,0,Halloween Sale
2025-10-28,44,10,Fall,0,
2025-10-29,44,10,Fall,0,
2025-10-30,44,10,Fall,0,
2025-10-31,44,10,Fall,0,Halloween
2025-11-01,44,11,Fall,0,
2025-11-02,44,11,Fall,0,
2025-11-03,45,11,Fall,0,
2025-11-04,45,11,Fall,0,
2025-11-05,45,11,Fall,0,
2025-11-06,45,11,Fall,0,
2025-11-07,45,11,Fall,0,
2025-11-08,45,11,Fall,0,Veterans Day Sale
2025-11-09,45,11,Fall,0,Veterans Day Sale
2025-11-10,45,11,Fall,0,Veterans Day Sale
2025-11-11,46,11,Fall,0,
2025-11-12,46,11,Fall,0,
2025-11-13,46,11,Fall,0,
2025-11-14,46,11,Fall,0,
2025-11-15,46,11,Fall,0,
2025-11-16,46,11,Fall,0,
2025-11-17,46,11,Fall,0,
2025-11-18,47,11,Fall,0,
2025-11-19,47,11,Fall,0,Black Friday Early
2025-11-20,47,11,Fall,0,Black Friday Early
2025-11-21,47,11,Fall,0,Black Friday Early
2025-11-22,47,11,Fall,0,Black Friday Early
2025-11-23,47,11,Fall,0,Black Friday Early
2025-11-24,47,11,Fall,0,
2025-11-25,47,11,Fall,0,
2025-11-26,48,11,Fall,0,Thanksgiving
2025-11-27,48,11,Fall,1,Thanksgiving
2025-11-28,48,11,Fall,0,Black Friday
2025-11-29,48,11,Fall,0,Black Friday
2025-11-30,48,11,Fall,0,Cyber Monday
2025-12-01,49,12,Winter,0,Cyber Monday
2025-12-02,49,12,Winter,0,Holiday Sale
2025-12-03,49,12,Winter,0,Holiday Sale
2025-12-04,49,12,Winter,0,Holiday Sale
2025-12-05,49,12,Winter,0,Holiday Sale
2025-12-06,49,12,Winter,0,Holiday Sale
2025-12-07,49,12,Winter,0,Holiday Sale
2025-12-08,50,12,Winter,0,
2025-12-09,50,12,Winter,0,
2025-12-10,50,12,Winter,0,
2025-12-11,50,12,Winter,0,
2025-12-12,50,12,Winter,0,12 Days of Christmas
2025-12-13,50,12,Winter,0,12 Days of Christmas
2025-12-14,50,12,Winter,0,12 Days of Christmas
2025-12-15,51,12,Winter,0,12 Days of Christmas
2025-12-16,51,12,Winter,0,12 Days of Christmas
2025-12-17,51,12,Winter,0,12 Days of Christmas
2025-12-18,51,12,Winter,0,12 Days of Christmas
2025-12-19,51,12,Winter,0,12 Days of Christmas
2025-12-20,51,12,Winter,0,12 Days of Christmas
2025-12-21,51,12,Winter,0,12 Days of Christmas
2025-12-22,52,12,Winter,0,12 Days of Christmas
2025-12-23,52,12,Winter,0,12 Days of Christmas
2025-12-24,52,12,Winter,0,Christmas Eve
2025-12-25,52,12,Winter,1,Christmas Day
2025-12-26,52,12,Winter,1,Boxing Day
2025-12-27,52,12,Winter,0,Post Christmas Sale
2025-12-28,52,12,Winter,0,Post Christmas Sale
2025-12-29,53,12,Winter,0,Post Christmas Sale
2025-12-30,53,12,Winter,0,Post Christmas Sale
2025-12-31,53,12,Winter,0,New Year's Eve
