store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date
ST15,SKU02747,0,100,30,2025-08-25
ST15,SKU00532,175,33,7,2025-07-14
ST27,SKU01818,152,41,13,2025-07-24
ST25,SKU00991,189,46,23,2025-08-16
ST06,SKU04913,0,26,9,2025-09-09
ST04,SKU04315,0,76,24,2025-10-08
ST28,SKU04443,102,22,11,2025-07-06
ST26,SKU00169,0,23,9,2025-09-12
ST12,SKU02449,0,79,18,2025-09-26
ST10,SKU03837,239,50,24,2025-08-29
ST05,SKU03493,319,68,27,2025-05-31
ST22,SKU04894,113,33,13,2025-08-26
ST13,SKU03088,0,97,40,2025-08-14
ST30,SKU02503,0,21,6,2025-10-10
ST30,SKU04489,0,74,37,2025-09-17
ST25,SKU04145,179,48,21,2025-05-12
ST16,SKU04554,165,51,13,2025-05-25
ST06,SKU01880,149,29,10,2025-08-12
ST06,SKU01651,96,20,4,2025-06-11
ST07,SKU02519,259,45,9,2025-07-01
ST26,SKU01337,93,21,8,2025-08-05
ST07,SKU04505,104,29,9,2025-07-31
ST15,SKU04854,147,45,14,2025-07-22
ST27,SKU01939,299,55,24,2025-08-31
ST20,SKU02983,0,77,25,2025-09-05
ST18,SKU00170,163,35,14,2025-08-08
ST04,SKU02221,301,59,25,2025-07-02
ST09,SKU00350,181,47,19,2025-08-29
ST21,SKU03622,0,47,15,2025-10-08
ST12,SKU00355,298,87,30,2025-05-07
ST03,SKU00535,112,24,8,2025-08-21
ST15,SKU03807,147,41,12,2025-07-30
ST13,SKU00994,0,73,15,2025-09-01
ST04,SKU01174,336,57,13,2025-07-24
ST09,SKU03504,365,70,15,2025-07-26
ST21,SKU00589,195,58,17,2025-06-17
ST05,SKU02567,247,76,28,2025-07-29
ST24,SKU02580,188,57,22,2025-06-23
ST22,SKU03968,230,51,14,2025-08-22
ST06,SKU00954,210,43,13,2025-06-09
ST23,SKU02355,0,40,19,2025-08-13
ST26,SKU04612,396,95,32,2025-08-16
ST19,SKU03633,0,81,27,2025-09-15
ST02,SKU03235,310,52,21,2025-08-14
ST24,SKU01762,290,55,24,2025-06-20
ST22,SKU03150,215,44,13,2025-08-23
ST22,SKU00935,337,59,19,2025-06-27
ST25,SKU02401,0,21,6,2025-10-01
ST27,SKU02999,125,34,13,2025-05-07
ST20,SKU02057,421,74,36,2025-08-18
ST25,SKU00186,207,39,10,2025-06-07
ST23,SKU03523,143,31,15,2025-08-07
ST14,SKU01754,310,56,23,2025-07-02
ST07,SKU04747,245,54,26,2025-05-18
ST07,SKU00546,318,58,22,2025-06-20
ST07,SKU00317,230,43,17,2025-07-16
ST29,SKU00830,0,21,9,2025-10-03
ST22,SKU01874,156,31,11,2025-07-13
ST01,SKU02983,0,70,31,2025-10-08
ST06,SKU01075,311,52,21,2025-07-04
ST16,SKU03520,445,96,40,2025-07-11
ST21,SKU01649,318,79,29,2025-05-18
ST26,SKU02747,0,26,8,2025-09-02
ST26,SKU00532,175,40,19,2025-07-03
ST07,SKU01485,0,55,27,2025-08-07
ST05,SKU03627,384,77,17,2025-08-18
ST19,SKU01310,448,77,22,2025-05-24
ST02,SKU04753,138,36,8,2025-08-24
ST19,SKU04693,290,93,25,2025-07-01
ST22,SKU02224,154,37,8,2025-06-07
ST24,SKU02822,381,91,25,2025-06-02
ST17,SKU01880,362,100,43,2025-05-20
ST30,SKU03805,90,21,5,2025-07-30
ST04,SKU02584,260,57,25,2025-08-25
ST04,SKU02355,0,48,17,2025-10-10
ST26,SKU04854,450,86,32,2025-05-27
ST12,SKU04919,368,65,14,2025-08-04
ST26,SKU02639,141,33,11,2025-08-04
ST29,SKU04334,242,55,23,2025-08-14
ST12,SKU04690,365,64,22,2025-05-16
ST29,SKU04105,0,83,32,2025-09-25
ST01,SKU02057,356,67,19,2025-07-03
ST06,SKU04350,0,92,26,2025-08-16
ST04,SKU03523,426,77,20,2025-08-25
ST11,SKU00264,0,31,7,2025-08-21
ST21,SKU02938,369,83,27,2025-07-05
ST07,SKU00788,390,84,38,2025-07-21
ST26,SKU03807,233,41,19,2025-05-18
ST05,SKU02930,0,23,8,2025-09-12
ST26,SKU01592,384,71,26,2025-07-10
ST10,SKU00830,0,87,23,2025-08-31
ST03,SKU04052,350,76,29,2025-05-24
ST27,SKU04409,414,76,27,2025-05-13
ST29,SKU03058,397,75,28,2025-06-18
ST23,SKU02718,310,80,31,2025-08-05
ST21,SKU04106,138,37,18,2025-08-09
ST16,SKU01547,0,79,26,2025-10-01
ST26,SKU00774,0,84,30,2025-09-27
ST17,SKU00954,232,66,23,2025-07-22
ST22,SKU03284,227,73,25,2025-07-22
ST03,SKU03005,319,57,26,2025-07-14
ST08,SKU03349,81,23,6,2025-08-10
ST03,SKU02776,0,24,12,2025-10-09
ST15,SKU04062,280,67,18,2025-06-20
ST11,SKU00385,251,55,26,2025-07-27
ST16,SKU00500,0,22,7,2025-09-28
ST02,SKU02780,411,73,16,2025-06-06
ST19,SKU00734,119,23,9,2025-06-15
ST29,SKU03179,136,27,13,2025-05-08
ST25,SKU01717,126,29,12,2025-08-09
ST18,SKU00546,120,32,8,2025-06-30
ST14,SKU01070,342,77,23,2025-05-18
ST10,SKU04334,74,20,4,2025-07-25
ST15,SKU04412,249,55,27,2025-06-14
ST13,SKU01370,0,22,6,2025-09-14
ST27,SKU03254,393,73,33,2025-05-30
ST11,SKU00506,0,62,14,2025-09-06
ST23,SKU01792,511,100,21,2025-07-23
ST21,SKU00965,123,35,16,2025-08-26
ST02,SKU04887,566,95,32,2025-06-25
ST08,SKU04409,316,69,25,2025-06-07
ST11,SKU01674,437,84,33,2025-05-23
ST21,SKU04348,0,74,18,2025-09-09
ST04,SKU02718,248,44,15,2025-08-02
ST14,SKU01191,434,82,20,2025-05-24
ST09,SKU02833,0,82,22,2025-08-06
ST23,SKU00516,461,81,34,2025-05-08
ST02,SKU03840,0,49,19,2025-09-08
ST02,SKU01854,437,80,19,2025-06-10
ST28,SKU00860,129,34,12,2025-06-14
ST29,SKU02482,0,98,23,2025-08-18
ST29,SKU04468,244,79,28,2025-08-25
ST03,SKU01032,268,63,20,2025-05-24
ST20,SKU02662,320,87,19,2025-08-05
ST27,SKU03375,378,67,25,2025-05-24
ST30,SKU00906,306,80,18,2025-07-25
ST23,SKU01684,503,97,24,2025-06-23
ST10,SKU03179,241,50,17,2025-08-15
ST03,SKU01971,104,28,6,2025-08-04
ST15,SKU03257,443,76,36,2025-08-03
ST15,SKU01042,291,72,20,2025-08-18
ST09,SKU02954,0,31,8,2025-08-19
ST17,SKU01317,0,78,37,2025-08-10
ST01,SKU04756,0,73,18,2025-08-14
ST03,SKU01153,0,98,24,2025-09-01
ST03,SKU03139,149,31,14,2025-07-02
ST01,SKU02541,235,47,10,2025-08-14
ST25,SKU02898,0,24,5,2025-08-15
ST06,SKU04605,177,56,23,2025-07-10
ST04,SKU01792,120,21,10,2025-08-21
ST23,SKU01805,289,72,21,2025-05-07
ST26,SKU00090,457,98,37,2025-07-28
ST21,SKU00978,227,47,22,2025-06-07
ST01,SKU03709,101,21,7,2025-05-23
ST13,SKU02780,182,32,15,2025-06-09
ST20,SKU01507,0,53,12,2025-08-22
ST27,SKU02449,0,24,6,2025-08-30
ST25,SKU03837,334,81,31,2025-08-16
ST23,SKU00987,147,38,9,2025-05-12
ST21,SKU02375,363,64,13,2025-07-19
ST23,SKU00758,591,100,20,2025-05-13
ST09,SKU00860,120,27,12,2025-07-03
ST07,SKU02211,344,59,21,2025-07-12
ST10,SKU02482,0,28,14,2025-08-10
ST29,SKU04710,0,51,13,2025-10-03
ST10,SKU04468,104,32,11,2025-05-08
ST10,SKU02253,544,97,20,2025-05-08
ST03,SKU01274,0,36,11,2025-08-10
ST01,SKU02662,425,75,33,2025-05-22
ST03,SKU01045,0,89,37,2025-08-27
ST06,SKU02740,0,64,28,2025-09-27
ST06,SKU04726,206,65,31,2025-06-18
ST16,SKU03199,0,76,29,2025-09-04
ST04,SKU01684,154,45,21,2025-05-08
ST26,SKU04412,251,62,17,2025-05-13
ST07,SKU03150,290,51,18,2025-07-14
ST24,SKU01104,341,92,36,2025-08-30
ST27,SKU00584,287,70,24,2025-08-29
ST08,SKU00342,316,56,22,2025-05-18
ST27,SKU02570,517,90,32,2025-05-20
ST27,SKU00355,369,62,30,2025-08-21
ST21,SKU02267,303,56,24,2025-05-20
ST21,SKU00052,154,41,16,2025-05-16
ST07,SKU04318,0,77,24,2025-10-11
ST24,SKU02501,193,41,11,2025-08-22
ST29,SKU04831,307,89,32,2025-06-06
ST12,SKU00986,369,68,21,2025-06-20
ST22,SKU01674,182,48,23,2025-06-22
ST29,SKU00401,77,25,9,2025-05-10
ST13,SKU01854,289,57,25,2025-08-22
ST13,SKU03840,0,82,27,2025-08-18
ST15,SKU00237,286,78,26,2025-08-16
ST06,SKU04847,0,61,12,2025-09-06
ST04,SKU01805,452,86,43,2025-05-13
ST22,SKU02842,267,63,18,2025-05-27
ST01,SKU01507,0,48,17,2025-09-17
ST06,SKU03800,0,21,10,2025-08-07
ST11,SKU04144,295,84,25,2025-08-30
ST04,SKU00987,76,24,5,2025-08-05
ST04,SKU00758,305,83,20,2025-05-30
ST10,SKU04710,0,67,27,2025-08-10
ST29,SKU02737,0,33,12,2025-09-08
ST18,SKU04305,0,58,19,2025-10-10
ST25,SKU01046,300,71,35,2025-07-10
ST16,SKU03441,205,48,24,2025-06-02
ST06,SKU00538,0,98,25,2025-09-16
ST26,SKU04654,80,24,9,2025-05-11
ST02,SKU03277,264,44,17,2025-05-20
ST07,SKU03621,309,58,13,2025-08-25
ST29,SKU03905,251,58,17,2025-08-25
ST03,SKU00240,383,95,24,2025-07-21
ST08,SKU02570,202,44,16,2025-06-16
ST08,SKU00584,109,23,10,2025-06-15
ST13,SKU00699,443,77,32,2025-06-19
ST24,SKU04729,532,93,21,2025-07-17
ST10,SKU04831,132,23,6,2025-06-21
ST29,SKU02858,0,79,32,2025-09-14
ST24,SKU02514,537,92,25,2025-07-30
ST05,SKU02501,261,68,31,2025-06-12
ST10,SKU00401,212,65,24,2025-08-30
ST18,SKU02211,345,69,15,2025-06-23
ST17,SKU04955,249,51,17,2025-05-08
ST17,SKU04726,558,96,43,2025-08-04
ST03,SKU04562,0,40,17,2025-08-28
ST25,SKU04321,0,68,26,2025-09-23
ST30,SKU04665,248,70,20,2025-05-24
ST18,SKU01164,0,26,12,2025-10-02
ST04,SKU01229,237,48,10,2025-07-18
ST11,SKU04157,0,93,27,2025-08-31
ST23,SKU03457,503,91,33,2025-08-13
ST02,SKU02351,464,86,26,2025-05-12
ST19,SKU02520,448,77,34,2025-07-09
ST19,SKU00305,325,72,28,2025-07-19
ST07,SKU00251,204,46,13,2025-08-16
ST10,SKU02737,0,44,15,2025-08-28
ST13,SKU02217,506,99,26,2025-07-29
ST13,SKU00002,0,47,14,2025-08-05
ST25,SKU03274,0,94,40,2025-09-12
ST13,SKU01988,0,22,7,2025-09-06
ST16,SKU03454,175,41,15,2025-07-02
ST26,SKU02681,160,35,13,2025-07-02
ST07,SKU03634,126,33,15,2025-08-02
ST26,SKU00466,169,51,15,2025-06-02
ST02,SKU01075,243,62,16,2025-08-15
ST24,SKU03803,191,48,23,2025-07-19
ST10,SKU03905,251,68,22,2025-07-23
ST29,SKU04147,310,100,21,2025-07-24
ST23,SKU01363,0,51,23,2025-09-03
ST23,SKU03349,433,79,17,2025-07-28
ST16,SKU00421,195,62,24,2025-05-22
ST14,SKU01580,365,97,31,2025-07-05
ST22,SKU04144,209,46,21,2025-06-14
ST05,SKU02514,174,30,14,2025-07-01
ST29,SKU02871,364,62,14,2025-06-27
ST04,SKU04504,120,38,10,2025-06-22
ST23,SKU02531,0,85,35,2025-09-09
ST23,SKU02302,106,33,13,2025-06-22
ST19,SKU03580,108,24,5,2025-05-29
ST05,SKU01696,249,80,24,2025-08-14
ST13,SKU03277,284,60,19,2025-06-13
ST19,SKU02533,198,36,9,2025-06-30
ST05,SKU00649,160,28,11,2025-06-07
ST24,SKU02648,0,69,22,2025-09-07
ST03,SKU01542,381,65,16,2025-06-29
ST09,SKU00539,0,60,28,2025-08-09
ST07,SKU03876,0,40,12,2025-09-25
ST14,SKU00654,209,64,13,2025-06-01
ST05,SKU03803,504,92,41,2025-07-02
ST10,SKU04147,86,20,9,2025-08-30
ST08,SKU01068,408,93,46,2025-05-20
ST01,SKU02112,265,55,14,2025-08-26
ST03,SKU02710,248,47,21,2025-07-07
ST04,SKU03578,0,45,15,2025-08-26
ST30,SKU02584,341,57,17,2025-05-27
ST23,SKU01605,419,75,21,2025-08-08
ST09,SKU03693,0,44,10,2025-10-09
ST11,SKU00090,339,78,21,2025-07-21
ST14,SKU01822,94,30,12,2025-07-06
ST08,SKU04222,330,84,18,2025-08-24
ST13,SKU02351,131,39,11,2025-08-15
ST04,SKU02531,0,31,7,2025-08-17
ST21,SKU03932,405,93,32,2025-07-20
ST24,SKU04166,0,100,47,2025-09-10
ST19,SKU03822,239,65,26,2025-05-24
ST17,SKU01009,0,97,23,2025-10-03
ST15,SKU04346,0,85,37,2025-09-29
ST03,SKU00845,0,72,27,2025-10-01
ST18,SKU03863,108,28,10,2025-05-17
ST25,SKU02590,219,38,18,2025-08-13
ST18,SKU03634,319,79,17,2025-08-18
ST07,SKU02950,0,94,21,2025-09-25
ST03,SKU01784,0,51,22,2025-08-24
ST20,SKU03414,203,57,26,2025-08-02
ST27,SKU02141,0,60,23,2025-10-12
ST08,SKU02128,174,57,17,2025-07-01
ST06,SKU01264,279,88,29,2025-05-26
ST27,SKU00155,70,22,9,2025-07-11
ST23,SKU00679,130,24,11,2025-08-09
ST13,SKU02472,322,67,32,2025-05-23
ST16,SKU03709,284,60,28,2025-06-03
ST26,SKU00721,200,35,15,2025-08-04
ST12,SKU04987,436,85,38,2025-07-21
ST05,SKU01830,162,31,12,2025-06-19
ST25,SKU04926,0,30,15,2025-09-12
ST21,SKU03235,133,34,8,2025-05-31
ST04,SKU01605,323,73,22,2025-07-01
ST14,SKU02064,331,61,26,2025-08-27
ST07,SKU02842,313,94,26,2025-07-24
ST20,SKU03535,0,82,19,2025-08-29
ST23,SKU00571,159,44,18,2025-05-29
ST26,SKU03057,0,34,8,2025-10-02
ST05,SKU04166,0,23,8,2025-08-13
ST10,SKU04281,126,40,10,2025-05-18
ST03,SKU03073,555,98,38,2025-06-19
ST13,SKU01317,0,45,10,2025-09-25
ST09,SKU02070,162,34,8,2025-06-09
ST11,SKU04654,120,30,13,2025-06-28
ST07,SKU03192,410,74,19,2025-05-10
ST26,SKU00024,301,88,33,2025-05-06
ST01,SKU01428,289,74,26,2025-05-19
ST01,SKU03414,74,22,8,2025-05-22
ST08,SKU00155,337,88,31,2025-05-25
ST30,SKU02129,314,66,15,2025-07-08
ST06,SKU03492,383,72,29,2025-07-17
ST23,SKU02907,341,97,27,2025-07-04
ST14,SKU03353,0,47,21,2025-09-25
ST09,SKU01023,173,37,12,2025-06-30
ST14,SKU01138,0,31,11,2025-08-20
ST04,SKU00679,169,53,25,2025-08-22
ST19,SKU01970,400,75,21,2025-08-13
ST12,SKU03014,346,95,20,2025-07-24
ST04,SKU03833,233,71,34,2025-08-09
ST26,SKU04346,0,66,18,2025-10-06
ST17,SKU04526,223,41,16,2025-08-05
ST22,SKU04641,359,79,37,2025-06-30
ST24,SKU01038,165,39,19,2025-08-19
ST03,SKU04362,0,91,28,2025-08-12
ST08,SKU04706,379,82,36,2025-05-13
ST01,SKU03535,0,32,12,2025-08-14
ST25,SKU01906,467,100,39,2025-06-25
ST30,SKU04236,231,58,20,2025-08-20
ST25,SKU01677,0,96,46,2025-10-12
ST04,SKU00571,471,82,40,2025-09-02
ST22,SKU03823,268,88,36,2025-05-12
ST17,SKU01264,485,100,39,2025-06-08
ST15,SKU02386,112,31,7,2025-05-21
ST30,SKU00974,0,34,8,2025-08-14
ST16,SKU03254,292,80,26,2025-05-27
ST23,SKU01981,364,75,15,2025-07-31
ST11,SKU02681,259,63,15,2025-08-03
ST02,SKU03090,384,89,25,2025-07-04
ST19,SKU03030,0,63,18,2025-08-26
ST22,SKU02776,0,47,15,2025-08-24
ST03,SKU02268,0,29,7,2025-10-10
ST15,SKU01339,391,77,33,2025-06-16
ST11,SKU01863,109,31,14,2025-07-16
ST04,SKU02907,341,94,44,2025-08-29
ST28,SKU03493,179,39,11,2025-06-12
ST04,SKU00692,0,88,19,2025-08-16
ST07,SKU02387,163,29,8,2025-08-27
ST01,SKU04824,0,69,25,2025-09-17
ST27,SKU01578,0,52,23,2025-09-25
ST06,SKU04902,385,74,34,2025-07-13
ST11,SKU03031,588,98,45,2025-05-07
ST28,SKU02217,488,95,22,2025-05-28
ST28,SKU00002,0,100,28,2025-09-01
ST17,SKU04768,387,71,31,2025-07-25
ST12,SKU02209,432,90,36,2025-07-09
ST29,SKU03839,298,71,23,2025-06-18
ST22,SKU00682,271,68,34,2025-05-16
ST05,SKU01038,297,62,19,2025-08-18
ST20,SKU04019,381,72,32,2025-06-11
ST18,SKU03192,101,22,8,2025-06-15
ST27,SKU00531,0,99,34,2025-10-02
ST25,SKU01919,402,94,23,2025-07-02
ST04,SKU01042,211,66,32,2025-05-12
ST28,SKU01170,0,66,24,2025-08-05
ST02,SKU02164,61,20,8,2025-05-23
ST07,SKU02279,307,54,23,2025-07-05
ST24,SKU04663,0,68,19,2025-09-30
ST17,SKU03492,148,36,8,2025-07-23
ST01,SKU04945,119,20,5,2025-05-25
ST13,SKU04016,0,99,39,2025-09-21
ST11,SKU03152,313,85,35,2025-05-21
ST28,SKU02567,70,21,6,2025-05-09
ST04,SKU01981,359,86,19,2025-07-30
ST22,SKU00574,243,58,15,2025-07-18
ST20,SKU01696,277,61,30,2025-05-15
ST09,SKU03493,332,84,39,2025-06-30
ST24,SKU00354,110,34,12,2025-05-07
ST27,SKU04035,0,72,17,2025-09-19
ST08,SKU01578,0,59,26,2025-08-09
ST30,SKU01337,230,52,18,2025-07-09
ST20,SKU00649,266,86,29,2025-08-23
ST06,SKU02700,362,87,33,2025-07-28
ST09,SKU02217,267,78,31,2025-06-03
ST24,SKU03737,137,31,9,2025-07-07
ST10,SKU03839,217,39,15,2025-07-18
ST20,SKU02046,0,62,15,2025-08-31
ST03,SKU00416,0,27,13,2025-09-02
ST13,SKU03090,255,58,21,2025-05-16
ST30,SKU04491,482,81,30,2025-06-21
ST11,SKU04212,301,52,26,2025-08-07
ST16,SKU00355,354,61,22,2025-08-05
ST28,SKU03627,111,32,12,2025-06-04
ST23,SKU01068,230,40,16,2025-08-23
ST26,SKU01568,453,84,32,2025-05-28
ST24,SKU04905,296,75,28,2025-06-23
ST05,SKU04663,0,36,7,2025-09-30
ST15,SKU04856,229,55,22,2025-06-28
ST18,SKU02387,180,36,12,2025-05-24
ST28,SKU04795,509,87,19,2025-05-11
ST09,SKU02567,165,31,8,2025-07-20
ST28,SKU02580,178,50,11,2025-07-31
ST26,SKU00521,270,60,18,2025-08-19
ST17,SKU04902,313,93,25,2025-05-25
ST22,SKU03031,336,73,36,2025-05-27
ST24,SKU01414,0,80,35,2025-08-12
ST20,SKU04153,220,38,11,2025-05-25
ST13,SKU00996,0,92,41,2025-09-20
ST30,SKU04612,500,90,36,2025-05-29
ST16,SKU02462,0,71,23,2025-08-28
ST23,SKU01189,0,44,21,2025-10-03
ST12,SKU03740,345,95,20,2025-05-23
ST05,SKU00354,260,84,31,2025-06-27
ST13,SKU02164,352,90,36,2025-06-08
ST18,SKU02279,315,84,37,2025-08-16
ST23,SKU00371,104,20,8,2025-08-11
ST12,SKU04679,145,38,14,2025-05-30
ST19,SKU01420,0,99,35,2025-10-09
ST22,SKU02923,0,29,10,2025-09-04
ST01,SKU04261,143,47,18,2025-05-12
ST01,SKU02046,0,46,12,2025-10-02
ST30,SKU02747,0,72,27,2025-08-24
ST30,SKU00532,186,50,16,2025-05-15
ST21,SKU04913,0,63,26,2025-08-25
ST23,SKU01310,389,65,27,2025-07-24
ST09,SKU03627,372,63,29,2025-06-22
ST05,SKU04905,122,31,9,2025-06-18
ST29,SKU00832,0,48,14,2025-08-26
ST03,SKU03812,0,45,18,2025-10-04
ST25,SKU01356,271,46,11,2025-06-01
ST09,SKU04795,207,50,20,2025-08-05
ST28,SKU02822,186,48,17,2025-08-24
ST09,SKU02580,354,72,16,2025-05-16
ST23,SKU00263,0,74,29,2025-09-11
ST21,SKU01651,142,25,9,2025-07-06
ST21,SKU01880,348,92,26,2025-08-08
ST07,SKU03931,205,64,20,2025-05-30
ST07,SKU03702,0,56,18,2025-08-05
ST05,SKU01643,212,53,26,2025-08-16
ST29,SKU04215,350,89,42,2025-08-08
ST01,SKU04153,187,61,14,2025-09-02
ST03,SKU00550,163,30,10,2025-08-24
ST16,SKU04919,196,42,11,2025-07-19
ST30,SKU02639,395,90,25,2025-09-01
ST16,SKU04690,109,21,8,2025-07-20
ST04,SKU01189,0,33,7,2025-09-20
ST02,SKU04526,171,29,13,2025-07-03
ST05,SKU04797,466,82,29,2025-05-20
ST12,SKU01538,383,78,34,2025-08-30
ST22,SKU04212,327,63,16,2025-08-23
ST13,SKU04392,217,50,21,2025-07-21
ST18,SKU00535,129,25,12,2025-08-16
ST30,SKU03807,167,31,11,2025-07-07
ST20,SKU01133,301,80,35,2025-06-24
ST30,SKU01592,208,55,23,2025-06-28
ST04,SKU00371,336,96,35,2025-08-24
ST14,SKU00830,0,81,34,2025-10-07
ST07,SKU04052,396,84,29,2025-05-11
ST26,SKU04856,480,86,35,2025-07-12
ST07,SKU03823,232,42,10,2025-07-22
ST19,SKU01662,0,32,12,2025-10-07
ST19,SKU01433,448,87,32,2025-08-16
ST13,SKU03574,89,25,8,2025-05-22
ST06,SKU04352,460,98,23,2025-07-04
ST04,SKU01310,105,20,7,2025-06-16
ST03,SKU04054,254,68,34,2025-07-09
ST23,SKU04706,417,78,23,2025-05-28
ST17,SKU03171,0,84,42,2025-08-09
ST10,SKU04215,121,28,12,2025-07-14
ST29,SKU04228,350,76,23,2025-07-25
ST25,SKU00551,272,68,27,2025-07-31
ST21,SKU01075,145,26,7,2025-06-25
ST02,SKU04768,181,33,8,2025-05-17
ST07,SKU00682,129,29,13,2025-05-26
ST19,SKU00507,303,74,32,2025-06-11
ST10,SKU00953,0,57,19,2025-09-19
ST13,SKU02648,0,98,40,2025-09-20
ST27,SKU00331,261,44,15,2025-08-11
ST15,SKU01031,316,64,25,2025-07-13
ST22,SKU00024,566,100,23,2025-08-26
ST27,SKU04532,169,37,14,2025-07-07
ST09,SKU00728,0,28,14,2025-10-05
ST14,SKU03058,293,52,11,2025-08-06
ST07,SKU02079,0,95,44,2025-09-22
ST02,SKU03950,414,79,24,2025-06-28
ST19,SKU01675,234,72,22,2025-06-20
ST15,SKU04414,306,80,33,2025-07-22
ST20,SKU00328,0,91,43,2025-09-14
ST26,SKU04280,0,25,6,2025-09-16
ST07,SKU01032,114,23,8,2025-08-21
ST10,SKU01303,386,83,19,2025-08-02
ST19,SKU00628,0,45,12,2025-10-01
ST27,SKU04653,183,43,16,2025-08-27
ST04,SKU00734,166,41,20,2025-05-08
ST21,SKU04350,0,97,29,2025-09-28
ST14,SKU03179,439,95,20,2025-06-05
ST07,SKU01971,411,92,39,2025-05-10
ST22,SKU01542,551,100,20,2025-05-08
ST18,SKU04052,122,23,7,2025-07-22
ST20,SKU00449,257,79,30,2025-08-07
ST18,SKU03823,488,93,20,2025-07-09
ST06,SKU02500,207,65,26,2025-06-17
ST06,SKU00285,0,92,27,2025-09-03
ST26,SKU04401,103,31,8,2025-06-23
ST07,SKU01153,0,97,21,2025-09-13
ST07,SKU03139,422,76,34,2025-05-26
ST05,SKU03295,135,41,10,2025-08-09
ST19,SKU00978,316,73,35,2025-08-26
ST19,SKU02964,150,29,6,2025-05-20
ST19,SKU00749,502,97,29,2025-05-11
ST08,SKU04532,138,36,17,2025-06-11
ST08,SKU00331,133,36,12,2025-08-21
ST18,SKU03005,115,32,6,2025-05-18
ST20,SKU03603,467,79,18,2025-07-27
ST18,SKU02776,0,32,10,2025-08-08
ST30,SKU04062,231,39,19,2025-05-11
ST11,SKU01568,313,96,20,2025-07-15
ST29,SKU04591,472,99,47,2025-06-29
ST27,SKU03727,0,54,18,2025-10-07
ST20,SKU04771,497,96,35,2025-08-25
ST14,SKU04468,311,59,19,2025-08-28
ST14,SKU02253,171,48,16,2025-08-09
ST07,SKU01045,0,34,13,2025-09-18
ST29,SKU03773,191,54,20,2025-05-27
ST15,SKU03609,306,73,29,2025-06-27
ST08,SKU04653,216,60,16,2025-05-31
ST30,SKU04412,231,68,31,2025-05-29
ST13,SKU04768,141,32,14,2025-07-10
ST28,SKU01104,212,46,10,2025-07-09
ST12,SKU03311,193,44,14,2025-06-11
ST19,SKU00052,290,87,25,2025-08-16
ST19,SKU02038,262,74,18,2025-08-12
ST10,SKU02484,0,30,12,2025-10-05
ST24,SKU00167,181,54,26,2025-08-21
ST03,SKU03491,109,24,6,2025-07-29
